match_id,minute,gold_adv,xp_adv,duration_min,radiant_win
8780135441,0,0,0,29.933333333333334,0
8780135441,1,105,104,29.933333333333334,0
8780135441,2,149,192,29.933333333333334,0
8780135441,3,435,256,29.933333333333334,0
8780135441,4,679,456,29.933333333333334,0
8780135441,5,923,438,29.933333333333334,0
8780135441,6,1018,457,29.933333333333334,0
8780135441,7,934,108,29.933333333333334,0
8780135441,8,304,-863,29.933333333333334,0
8780135441,9,-61,-1491,29.933333333333334,0
8780135441,10,-1267,-4533,29.933333333333334,0
8780135441,11,-1829,-5448,29.933333333333334,0
8780135441,12,-2289,-6374,29.933333333333334,0
8780135441,13,-2997,-6517,29.933333333333334,0
8780135441,14,-4928,-8079,29.933333333333334,0
8780135441,15,-3628,-5725,29.933333333333334,0
8780135441,16,-4144,-5569,29.933333333333334,0
8780135441,17,-3489,-4634,29.933333333333334,0
8780135441,18,-3996,-4687,29.933333333333334,0
8780135441,19,-3428,-3003,29.933333333333334,0
8780135441,20,-2552,-1248,29.933333333333334,0
8780135441,21,-1263,111,29.933333333333334,0
8780135441,22,-2962,-1102,29.933333333333334,0
8780135441,23,-2861,-2254,29.933333333333334,0
8780135441,24,-2410,-1898,29.933333333333334,0
8780135441,25,-4313,-6266,29.933333333333334,0
8780135441,26,-5371,-7359,29.933333333333334,0
8780135441,27,-6842,-11849,29.933333333333334,0
8780135441,28,-8893,-13489,29.933333333333334,0
8780135441,29,-11293,-16941,29.933333333333334,0
8780135366,0,0,0,34.81666666666667,1
8780135366,1,300,74,34.81666666666667,1
8780135366,2,46,27,34.81666666666667,1
8780135366,3,-12,-765,34.81666666666667,1
8780135366,4,-734,-1542,34.81666666666667,1
8780135366,5,-1105,-1466,34.81666666666667,1
8780135366,6,-465,-898,34.81666666666667,1
8780135366,7,-373,-650,34.81666666666667,1
8780135366,8,519,-387,34.81666666666667,1
8780135366,9,379,-296,34.81666666666667,1
8780135366,10,1573,1170,34.81666666666667,1
8780135366,11,1511,1710,34.81666666666667,1
8780135366,12,763,1862,34.81666666666667,1
8780135366,13,2079,2374,34.81666666666667,1
8780135366,14,2119,2016,34.81666666666667,1
8780135366,15,2386,1376,34.81666666666667,1
8780135366,16,1546,1635,34.81666666666667,1
8780135366,17,856,408,34.81666666666667,1
8780135366,18,1612,2405,34.81666666666667,1
8780135366,19,1175,2,34.81666666666667,1
8780135366,20,1651,1310,34.81666666666667,1
8780135366,21,2229,1749,34.81666666666667,1
8780135366,22,2410,1556,34.81666666666667,1
8780135366,23,3492,3835,34.81666666666667,1
8780135366,24,6232,8251,34.81666666666667,1
8780135366,25,5670,5342,34.81666666666667,1
8780135366,26,8573,8011,34.81666666666667,1
8780135366,27,10504,11892,34.81666666666667,1
8780135366,28,12159,15478,34.81666666666667,1
8780135366,29,13676,15958,34.81666666666667,1
8780135366,30,14990,11401,34.81666666666667,1
8780135366,31,13754,7532,34.81666666666667,1
8780135366,32,15804,13911,34.81666666666667,1
8780135366,33,17101,10883,34.81666666666667,1
8780135366,34,16688,9749,34.81666666666667,1
8780111494,0,100,69,35.233333333333334,0
8780111494,1,733,333,35.233333333333334,0
8780111494,2,960,371,35.233333333333334,0
8780111494,3,1247,805,35.233333333333334,0
8780111494,4,1007,431,35.233333333333334,0
8780111494,5,1040,356,35.233333333333334,0
8780111494,6,1162,-260,35.233333333333334,0
8780111494,7,1129,-193,35.233333333333334,0
8780111494,8,729,-1466,35.233333333333334,0
8780111494,9,1211,-1627,35.233333333333334,0
8780111494,10,1036,-2046,35.233333333333334,0
8780111494,11,1138,-1218,35.233333333333334,0
8780111494,12,962,-2020,35.233333333333334,0
8780111494,13,600,-2086,35.233333333333334,0
8780111494,14,166,-2278,35.233333333333334,0
8780111494,15,-990,-2830,35.233333333333334,0
8780111494,16,-1065,-2850,35.233333333333334,0
8780111494,17,-2017,-4941,35.233333333333334,0
8780111494,18,-4425,-8330,35.233333333333334,0
8780111494,19,-4262,-6865,35.233333333333334,0
8780111494,20,-4147,-7370,35.233333333333334,0
8780111494,21,-7664,-12697,35.233333333333334,0
8780111494,22,-8149,-14518,35.233333333333334,0
8780111494,23,-8453,-16212,35.233333333333334,0
8780111494,24,-6800,-10942,35.233333333333334,0
8780111494,25,-7586,-11203,35.233333333333334,0
8780111494,26,-8724,-13431,35.233333333333334,0
8780111494,27,-10255,-17946,35.233333333333334,0
8780111494,28,-11371,-20093,35.233333333333334,0
8780111494,29,-12997,-26846,35.233333333333334,0
8780111494,30,-15870,-30887,35.233333333333334,0
8780111494,31,-16834,-31276,35.233333333333334,0
8780111494,32,-16586,-31766,35.233333333333334,0
8780111494,33,-18503,-36820,35.233333333333334,0
8780111494,34,-20847,-42905,35.233333333333334,0
8780111494,35,-26776,-48830,35.233333333333334,0
8780111466,0,0,0,49.766666666666666,1
8780111466,1,506,170,49.766666666666666,1
8780111466,2,1028,515,49.766666666666666,1
8780111466,3,960,319,49.766666666666666,1
8780111466,4,1481,828,49.766666666666666,1
8780111466,5,1821,1383,49.766666666666666,1
8780111466,6,2399,1965,49.766666666666666,1
